bg_id,county,state,cbsa,county_fips,state_fips,cbsa_fips,cbsa_type,updated,population,housing_units,land_acres,protected_acres,tribal_acres,zonable_acres,num_jurisdictions,num_published,num_haszoning,num_haszoning_missingdocs,zoned_acres,unzoned_acres,num_districts,primarily_residential_acres,nonresidential_acres,mixed_with_residential_acres,all_residential_acres,family1_allowed_acres,family1_hearing_acres,family1_prohibited_acres,family2_allowed_acres,family2_hearing_acres,family2_prohibited_acres,family3_allowed_acres,family3_hearing_acres,family3_prohibited_acres,family4_allowed_acres,family4_hearing_acres,family4_prohibited_acres,family1_only_acres,family1_mls_no_min_lot_size_acres,family1_mls_under_10k_sqft_acres,family1_mls_10k_to_19999_sqft_acres,family1_mls_20k_to_39999_sqft_acres,family1_mls_40k_to_79999_sqft_acres,family1_mls_80k_sqft_and_more_acres,family1_mls_varies_acres,adu_allowed_acres,adu_allowed_restricted_acres,adu_hearing_acres,adu_hearing_restricted_acres,adu_prohibited_acres,parking_required_acres,protected_pct,tribal_pct,zonable_pct,zoned_pct,unzoned_pct,primarily_residential_pct,nonresidential_pct,mixed_with_residential_pct,all_residential_pct,family1_allowed_pct,family1_hearing_pct,family1_prohibited_pct,family2_allowed_pct,family2_hearing_pct,family2_prohibited_pct,family3_allowed_pct,family3_hearing_pct,family3_prohibited_pct,family4_allowed_pct,family4_hearing_pct,family4_prohibited_pct,family1_only_pct,family1_mls_no_min_lot_size_pct,family1_mls_under_10k_sqft_pct,family1_mls_10k_to_19999_sqft_pct,family1_mls_20k_to_39999_sqft_pct,family1_mls_40k_to_79999_sqft_pct,family1_mls_80k_sqft_and_more_pct,family1_mls_varies_pct,adu_allowed_pct,adu_allowed_restricted_pct,adu_hearing_pct,adu_hearing_restricted_pct,adu_prohibited_pct,parking_required_pct
330019662002,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1936,741,503,2,0,501,2,2,2,0,458.05,42.95,4,332.92,21.65,103.48,436.4,436.4,0,0,192.35,0.35,243.7,0,192.35,244.05,0,192.35,244.05,244.05,0,103.48,332.58,0,0.35,0,0,0,0.35,0,436.05,0,436.4,0.4,0,99.6,91.06,8.54,72.68,4.73,22.59,95.27,100,0,0,44.08,0.08,55.84,0,44.08,55.92,0,44.08,55.92,55.92,0,23.71,76.21,0,0.08,0,0,0,0.08,0,99.92,0,100
330019664011,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1241,2077,3244,43,0,3200,2,2,2,0,2915.99,285.01,4,2005.49,653.4,257.1,2262.59,2262.59,0,0,257.1,2005.49,0,0,257.1,2005.49,0,257.1,2005.49,2005.49,0,0,0.74,0,1598.31,663.54,0,0,2261.85,0,0.74,0,2262.59,1.33,0,98.64,89.89,8.79,68.78,22.41,8.82,77.59,100,0,0,11.36,88.64,0,0,11.36,88.64,0,11.36,88.64,88.64,0,0,0.03,0,70.64,29.33,0,0,99.97,0,0.03,0,100
330019664031,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1358,503,1201,8,0,1193,2,2,2,0,1038.04,154.96,4,783.59,254.41,0.05,783.64,783.64,0,0,148.49,614.69,20.46,0,148.49,635.15,0,148.49,635.15,635.15,0,0.05,21.06,0,762.52,0,0,0,762.52,0,21.12,0,783.64,0.67,0,99.33,86.43,12.9,75.49,24.51,0,75.49,100,0,0,18.95,78.44,2.61,0,18.95,81.05,0,18.95,81.05,81.05,0,0.01,2.69,0,97.3,0,0,0,97.3,0,2.7,0,100
330019664032,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1630,802,2322,0,0,2322,1,1,1,0,2158.22,163.78,7,1687.01,124.27,346.95,2033.95,1938.07,95.89,0,877.65,1156.3,0,0,665.73,1368.22,0,665.73,1368.22,1060.41,0,0,0,0,1652.94,285.12,0,0,1938.07,0,0,0,2033.95,0,0,100,92.95,7.05,78.17,5.76,16.08,94.24,95.29,4.71,0,43.15,56.85,0,0,32.73,67.27,0,32.73,67.27,52.14,0,0,0,0,85.29,14.71,0,0,100,0,0,0,100
330019664033,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1263,788,4033,366,0,3666,1,1,1,0,3474.56,192.44,4,2905.05,0,569.5,3474.56,3474.56,0,0,2680.86,793.7,0,0,1455.25,2019.31,0,1455.25,2019.31,793.7,0,0,0,0,2248.95,1225.61,0,0,3474.56,0,0,0,3474.56,9.08,0,90.9,86.15,4.77,83.61,0,16.39,100,100,0,0,77.16,22.84,0,0,41.88,58.12,0,41.88,58.12,22.84,0,0,0,0,64.73,35.27,0,0,100,0,0,0,100
330019664041,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1092,402,2363,78,0,2284,3,3,3,0,2128.93,156.07,5,1953.14,104.17,71.61,2024.75,1961.17,63.58,0,1519.03,502.13,3.59,0,903.16,1121.59,0,903.16,1121.59,442.14,0,0,3.45,0,1333.85,623.73,0.13,0,1957.55,0,3.62,0,2024.75,3.3,0,96.66,90.09,6.6,91.74,4.89,3.36,95.11,96.86,3.14,0,75.02,24.8,0.18,0,44.61,55.39,0,44.61,55.39,21.84,0,0,0.18,0,68.01,31.8,0.01,0,99.82,0,0.18,0,100
330019664042,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1246,641,11473,3680,0,7794,4,4,4,0,7635.53,157.47,4,7389.51,0,246.03,7635.53,7635.53,0,0,6869.93,764.14,1.46,0,3299.65,4335.88,0,3299.65,4335.88,765.6,0,0,0,0,3997.73,3637.81,0,0,7635.53,0,0.01,0,7635.53,32.08,0,67.93,66.55,1.37,96.78,0,3.22,100,100,0,0,89.97,10.01,0.02,0,43.21,56.79,0,43.21,56.79,10.03,0,0,0,0,52.36,47.64,0,0,100,0,0,0,100
330019665011,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1867,663,10511,107,0,10404,5,5,5,0,10119.87,284.13,1,99.17,0,10020.69,10119.87,10119.87,0,0,199.99,13.38,9906.5,0,10102.62,17.24,0,10102.62,17.24,9919.88,16.61,0,53.02,77.77,47.79,9924.66,0,0,10102.62,0,13.38,3.87,10119.86,1.02,0,98.98,96.28,2.7,0.98,0,99.02,100,100,0,0,1.98,0.13,97.89,0,99.83,0.17,0,99.83,0.17,98.02,0.16,0,0.52,0.77,0.47,98.07,0,0,99.83,0,0.13,0.04,100
330019665012,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1545,1583,14128,395,0,13733,5,5,5,0,13232.47,500.53,3,848.41,11.88,12372.18,13220.59,13220.59,0,0,1091.81,0,12128.78,0,12473.43,747.15,0,12473.43,747.15,12128.78,0,0,36.44,843.69,928.64,11411.82,0,0.68,12487.79,0,732.13,0,13220.59,2.8,0,97.2,93.66,3.54,6.41,0.09,93.5,99.91,100,0,0,8.26,0,91.74,0,94.35,5.65,0,94.35,5.65,91.74,0,0,0.28,6.38,7.02,86.32,0,0.01,94.46,0,5.54,0,100
330019665021,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1378,920,10522,763,0,9758,3,3,3,0,9292.14,466.86,3,769.61,0.72,8521.81,9291.42,9291.42,0,0,2369.19,0,6922.23,0,8543.3,748.12,0,8543.3,748.12,6922.23,10.85,0,117.53,755.49,2228.42,6179.13,0,0,8542.25,0,749.17,0,9291.42,7.25,0,92.74,88.31,4.44,8.28,0.01,91.71,99.99,100,0,0,25.5,0,74.5,0,91.95,8.05,0,91.95,8.05,74.5,0.12,0,1.26,8.13,23.98,66.5,0,0,91.94,0,8.06,0,100
330019665022,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,700,581,3020,151,0,2869,1,1,1,0,2713.5,155.5,3,1870.01,0,843.49,2713.5,2713.5,0,0,337.7,0,2375.79,0,843.49,1870.01,0,843.49,1870.01,2375.79,0,0,0,1870.01,337.7,505.78,0,0,843.49,0,1870.01,0,2713.5,5,0,95,89.85,5.15,68.92,0,31.08,100,100,0,0,12.45,0,87.55,0,31.08,68.92,0,31.08,68.92,87.55,0,0,0,68.92,12.45,18.64,0,0,31.08,0,68.92,0,100
330019665023,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,504,867,1237,0,0,1237,1,1,1,0,1016.9,220.1,5,822.38,44.95,149.57,971.95,971.95,0,0,192.35,0,779.6,0,192.42,779.53,0,192.42,779.53,779.6,0,0,84.52,822.38,64.98,0.08,0,0,192.42,0,779.53,0,971.95,0,0,100,82.21,17.79,80.87,4.42,14.71,95.58,100,0,0,19.79,0,80.21,0,19.8,80.2,0,19.8,80.2,80.21,0,0,8.7,84.61,6.69,0.01,0,0,19.8,0,80.2,0,100
