bg_id,county,state,cbsa,county_fips,state_fips,cbsa_fips,cbsa_type,updated,population,housing_units,land_acres,protected_acres,tribal_acres,zonable_acres,num_jurisdictions,num_published,num_haszoning,num_haszoning_missingdocs,zoned_acres,unzoned_acres,num_districts,primarily_residential_acres,nonresidential_acres,mixed_with_residential_acres,all_residential_acres,family1_allowed_acres,family1_hearing_acres,family1_prohibited_acres,family2_allowed_acres,family2_hearing_acres,family2_prohibited_acres,family3_allowed_acres,family3_hearing_acres,family3_prohibited_acres,family4_allowed_acres,family4_hearing_acres,family4_prohibited_acres,family1_only_acres,family1_mls_no_min_lot_size_acres,family1_mls_under_10k_sqft_acres,family1_mls_10k_to_19999_sqft_acres,family1_mls_20k_to_39999_sqft_acres,family1_mls_40k_to_79999_sqft_acres,family1_mls_80k_sqft_and_more_acres,family1_mls_varies_acres,adu_allowed_acres,adu_allowed_restricted_acres,adu_hearing_acres,adu_hearing_restricted_acres,adu_prohibited_acres,parking_required_acres
330199752001,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1122,632,27178,7301,0,19877,1,1,1,0,19290.71,586.29,2,3836.36,218.6,15235.74,19072.11,19072.11,0,0,15237.83,0,3834.28,0,15232.22,3839.89,0,15232.22,3839.89,3834.28,0,0,0,0,15233.89,3838.21,0,0,0,0,19068.58,3.52,5.65
330199752002,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,947,490,24356,0,0,24356,2,2,2,0,23933.76,422.24,5,755.61,10016.77,13161.37,13916.98,13916.98,0,0,13897.68,0.07,19.23,0,812.62,13104.37,0,812.62,13104.37,19.3,1.44,0,17.79,0,1540.92,12356.83,0,0,0.07,1.44,805.6,13109.88,13916.97
330199752003,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1551,1631,4608,16,0,4592,1,1,1,0,4152.86,439.14,5,3203.71,418.74,530.41,3734.12,3724.52,0,9.6,3724.52,0,9.6,0,110.82,3623.29,0,110.82,3623.29,0,0,0,0,0,3124.24,600.28,0,0,0,0,3724.52,0,3719.74
330199752004,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1765,654,11028,430,0,10598,1,1,1,0,10251.28,346.72,5,5946.89,3471.43,832.96,6779.85,6761.38,0,18.47,6748.28,0,31.57,0,126.45,6653.39,0,126.45,6653.39,13.1,0,0,13.1,0,3338.11,3410.17,0,0,0,0,6761.38,0.01,6761.38
330199754021,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1431,619,11467,30,0,11438,1,1,1,0,11159.86,277.14,4,436.12,186.55,10537.19,10973.31,10973.31,0,0,1.98,0,10971.32,0,1.98,10971.33,0,1.98,10971.33,10971.32,10537.04,0,0,0,0.01,436.26,0,0,0,10971.32,1.98,0,10971.78
330199754022,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,572,368,9193,28,0,9164,1,1,1,0,8934.29,230.71,5,137.21,207.67,8589.4,8726.62,8715.5,11.12,0,20.56,11.41,8694.64,0,11.12,8715.5,0,11.12,8715.5,8694.94,8541.01,0,0,0,0.3,174.19,0,0,0,8694.64,0.3,20.56,8726.62
330199754023,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1096,428,1975,12,0,1963,1,1,1,0,1891.58,71.42,5,122.69,121.75,1647.14,1769.83,1737.81,32.02,0,77.31,32.02,1660.5,0,44.49,1725.34,0,44.49,1725.34,1660.5,1672.96,0,64.79,0.01,0.05,0,0,0,0,1737.76,0.05,0,1769.83
330199755001,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,953,612,20256,1385,0,18871,1,1,0,0,55.95,18815.05,0,0,0,55.95,55.95,55.95,0,0,0,55.84,0.11,0,0,55.95,0,0,55.95,55.95,0,0,0,0,0.34,55.61,0,0,0.11,0,55.84,0,0.11
330199755002,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1042,430,14178,913,0,13265,1,1,1,0,13052.85,212.15,3,12385.64,0,667.22,13052.85,12720.37,332.49,0,12719.83,332.49,0.54,0,13052.3,0.55,0,13052.3,0.55,0.54,0.01,0,0,0,0.01,12720.34,0,0,0.53,0.01,12719.83,0,13052.85
330199755003,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1208,1025,28474,5356,0,23117,1,1,1,0,22427.27,690.73,1,0.06,0,22427.21,22427.27,22427.27,0,0,0.06,0,22427.21,0,0.06,22427.21,0,0.06,22427.21,22427.21,0,0,0,0,0,22427.27,0,0,22427.21,0,0.06,0,22427.27
330199756001,Sullivan County,New Hampshire,"Lebanon-Claremont, NH-VT",33019,33,30150,micro,2026-04-16,1375,648,23340,1447,0,21894,1,1,1,0,21281.88,611.12,1,0.26,0,21281.62,21281.88,21281.88,0,0,21280.73,0.93,0.22,0,21280.73,1.15,0,21280.73,1.15,1.15,3.95,0,0,0,0.68,21277.25,0,0,0,0.22,21277.93,3.73,4.43
